exp_id,date,arch,num_classes,git_commit,class_mapping_version,seed,lr,batch_size,epochs,augmentation,train_samples,val_f1_macro,val_acc,test_f1_macro,test_acc,hazard_false_alarm_rate,hazard_miss_rate_per_class,model_size_mb,latency_ms,checkpoint_path,notes
EXP_001_CNN_BASELINE_3CLASS,2026-07-27 14:42:00,CNN,3,89e95b5,v1.0,42,0.0010,32,20,Waveform (Shift/Gain) + SpecAugment (Freq/Time Mask),7618,0.9392,0.9670,UNTOUCHED,UNTOUCHED,0.0213,0.0381,0.2800,1.2000,checkpoints/EXP_001_CNN_BASELINE_3CLASS_best.pth,"3-class CNN baseline (normal, gunshot, siren)"
EXP_002_CRNN_BASELINE_3CLASS,2026-07-27 14:44:00,CRNN,3,89e95b5,v1.0,42,0.0010,32,20,Waveform (Shift/Gain) + SpecAugment (Freq/Time Mask),7618,0.9443,0.9700,UNTOUCHED,UNTOUCHED,0.0156,0.0393,1.2200,2.8000,checkpoints/EXP_002_CRNN_BASELINE_3CLASS_best.pth,"3-class CRNN baseline (normal, gunshot, siren)"
